"back_camera","battery","display","name","price","ram"
"62","4355","6.3","GooglePixel7","61999","8"
"77","4385","6.1","GooglePixel7a","49999","8"
"110","5000","6.7","GooglePixel7Pro","74999","8"
"62","4575","6.2","GooglePixel8","79999","8"
"62","4492","6.1","GooglePixel8a","89999","8"
"146","5050","6.7","GooglePixel8Pro","99999","12"
"98","4700","6.3","GooglePixel9","121999","12"
"146","5100","6.3","GooglePixel9a","144750","8"
"146","4700","6.3","GooglePixel9Pro","164999","16"
"146","4970","6.3","GooglePixel10","189999","12"
"140","6200","6.3","GooglePixel10a","139999","8"
"146","6500","6.7","GooglePixel10Pro","249750","12"
"28","4680","6.34","GooglePixel4a5G","54750","6"
"122","4680","6.34","GooglePixel5a","80100","6"
"62","4614","6.4","GooglePixel6","42999","8"
"24","4410","6.1","GooglePixel6a","49999","6"
"110","5003","6.7","GooglePixel6Pro","60999","12"
"62","4355","6.3","GooglePixel7","61999","8"
"77","4385","6.1","GooglePixel7a","49999","8"
"110","5000","6.7","GooglePixel7Pro","74999","8"
"62","4575","6.2","GooglePixel8","79999","8"
"62","4492","6.1","GooglePixel8a","89999","8"
"146","5050","6.7","GooglePixel8Pro","99999","12"
"98","4700","6.3","GooglePixel9","121999","12"
"146","5100","6.3","GooglePixel9a","144750","8"
"146","4700","6.3","GooglePixel9Pro","164999","16"
"146","4970","6.3","GooglePixel10","189999","12"
"140","6200","6.3","GooglePixel10a","139999","8"
"146","6500","6.7","GooglePixel10Pro","249750","12"
"8","3000","5.6","GooglePixel3a","69999","4"
"8","3700","6.0","GooglePixel3aXL","79999","4"
"8","2800","5.7","GooglePixel4","119999","6"
"8","3700","6.3","GooglePixel4XL","139999","6"
"8","3140","5.8","GooglePixel4a","89999","6"
"8","3885","6.2","GooglePixel4a5G128","109999","6"
"8","4080","6.0","GooglePixel5","139999","8"
"8","4680","6.34","GooglePixel5a128","109999","6"
"8","4614","6.4","GooglePixel6 128GB","159999","8"
"11.1","5003","6.71","GooglePixel6Pro256","199999","12"
"8","4410","6.1","GooglePixel6a128","129999","6"
"10.8","4355","6.3","GooglePixel7 128GB","169999","8"
"10.8","5000","6.7","GooglePixel7Pro256","229999","12"
"10.8","4385","6.1","GooglePixel7a128","139999","8"
"10.5","4575","6.2","GooglePixel8 128GB","179999","8"
"10.5","5050","6.7","GooglePixel8Pro256","249999","12"
